Running for 480.0 seconds (480 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   CPU Freq  Freq Min  Freq Max
08:13:09  17.0   0.0   1.5  81.4   0.1    1   4371   3795   34    5    4   0.00E  0.91 GHz  0.80 GHz  2.13 GHz
08:13:10   0.4   0.0   0.3  99.2   0.1    2    837    592    8    4    9   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
08:13:11   0.2   0.0   0.2  99.7   0.0    1    629    373    2    2    2   0.00E  0.83 GHz  0.80 GHz  0.87 GHz
08:13:12   0.2   0.0   0.2  99.7   0.0    1    668    400    2    2    2   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
08:13:13   0.1   0.0   0.1  99.7   0.1    2    632    425    0    0    0   0.00E  0.84 GHz  0.80 GHz  0.87 GHz
08:13:14   0.2   0.0   0.2  99.7   0.0    1    679    501    2    2    2   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
08:13:15   0.1   0.0   0.2  99.7   0.1    1    744    497    3    3    4   0.00E  0.84 GHz  0.80 GHz  1.04 GHz
08:13:16   2.9   0.0   0.3  96.8   0.0    1   1112    951    3    2    5   0.00E  0.90 GHz  0.80 GHz  2.13 GHz
08:13:17   6.5   0.0   0.2  93.2   0.1    2   1023   1398    2    2    2   0.00E  0.91 GHz  0.80 GHz  2.10 GHz
08:13:18   8.9   0.0   0.2  90.8   0.1    2   1186   1655    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
08:13:19   8.7   0.0   0.3  91.1   0.0    2   1263   1701    2    2    2   0.00E  0.91 GHz  0.80 GHz  2.10 GHz
08:13:20   8.6   0.0   0.2  91.2   0.0    2   1153   1653    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
08:13:21   8.5   0.0   0.2  91.3   0.0    2   1180   1686    2    2    2   0.00E  0.91 GHz  0.80 GHz  2.10 GHz
08:13:22   8.5   0.0   0.2  91.2   0.1    2   1228   1665    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
08:13:23   8.6   0.0   0.2  91.2   0.1    2   1214   1675    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
08:13:24   8.6   0.0   0.2  91.2   0.1    2   1224   1679    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
08:13:25   8.5   0.0   0.2  91.3   0.0    2   1112   1634    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
08:13:26   8.8   0.0   0.1  91.1   0.0    2   1211   1727    2    2    2   0.00E  0.91 GHz  0.80 GHz  2.10 GHz
08:13:27   8.6   0.0   0.3  91.1   0.1    2   1219   1704    2    2    2   0.00E  0.91 GHz  0.80 GHz  2.10 GHz
08:13:28   8.5   0.0   0.2  91.2   0.2    2   1263   1795    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
