CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
50,10000,75,4.45,4.39166666666667,110.30188,9.06602861166102,162.158074957963,162.588530612903,162.622231,0.227694750228843,48.4409089666667,48.4060721062619,48.38,7,110.276482,2082437,1.36059778172456,None
50,10000,75,4.45,4.32833333333333,109.98354,9.09226962507299,159.109567643362,159.281305485945,159.316464,0.231033848051213,47.60454223,46.8425105891413,47.55,7,109.961557,2090538,1.36734550040038,None
50,10000,75,4.45,4.45166666666667,109.941686,9.09573098597014,161.180425500064,161.875644490453,161.909961,0.224566276087233,48.9423738843333,48.7270685136653,48.88,5,109.917174,2094775,1.37088326119221,None
50,10000,75,4.45,4.62,110.194502,9.07486291829696,163.118507274351,165.674343963204,165.706605,0.216386916473665,50.909859924,49.7655122655123,50.83,7,110.170657,2114115,1.38701167921537,None
50,10000,75,4.45,4.605,110.013459,9.08979691293953,172.710350006661,168.515637350344,168.54721,0.217132828032211,50.6611978695,51.5924719507781,50.59,5,109.99258,2100851,1.37595561337836,None
50,10000,75,4.45,4.46166666666667,110.145555,9.07889564858064,162.342532697006,162.918662695555,162.951581,0.224107612027269,49.1432751225,49.626447515876,49.07,5,110.121331,2082424,1.36059027875143,None
50,10000,75,4.45,4.51333333333333,109.957678,9.09440812309623,163.392453892291,163.898339878508,163.931474,0.221520145588996,49.6275653373333,49.2245199409158,49.57,6,109.932155,2119137,1.39119107967678,None
50,10000,75,4.45,4.35166666666667,110.357759,9.06143808157612,154.943562141199,158.448119169284,158.482239,0.229770915710839,48.0240181248333,47.0892378399081,47.95,5,110.33362,2103215,1.3779130155921,None
60,10000,75,5.34,5.10166666666667,109.669088,9.11833970936277,178.756656681666,179.342346868017,179.371182,0.195949291374387,55.9495130613333,56.1417837308069,55.84,7,109.644437,2168052,1.43199072313202,None
60,10000,75,5.34,5.36333333333333,109.429887,9.13827133898073,181.294543858911,183.625995222499,183.653653,0.186291609910193,58.690896061,59.136109384711,58.59,9,109.407116,2194757,1.45426234290907,None
60,10000,75,5.34,5.185,109.556153,9.1277392699249,177.336973255806,178.187458735133,178.190036,0.19261368865188,56.8048653305,58.0427446569179,56.7,7,109.536532,2167890,1.43186002529091,None
60,10000,75,5.34,5.35666666666667,109.280517,9.15076197891707,185.695825938867,185.702696134723,185.735067,0.186612460457374,58.537930273,58.3229620410703,58.43,7,109.260564,2173847,1.43683369559501,None
60,10000,75,5.34,5.30166666666667,109.367541,9.14348069689159,186.663169532317,185.302671027979,185.332373,0.188551200988683,57.9830246535,58.5822068531908,57.88,6,109.346701,2183484,1.44486304993741,None
60,10000,75,5.34,5.47166666666667,109.381639,9.14230221033715,175.133087136319,182.506709693268,182.533503,0.182683200851051,59.8499868061667,58.5135546756016,59.74,7,109.357514,2210107,1.46706198851553,None
60,10000,75,5.34,5.42333333333333,109.404449,9.14039610948546,176.99364103525,183.024531705286,183.0554,0.184373479888445,59.3336795076667,58.159188690842,59.23,6,109.382209,2201470,1.45986068864384,None
60,10000,75,5.34,5.285,109.480757,9.13402526071317,175.609913278061,178.691679794387,178.721767,0.188853508784611,57.8605800745,58.7827183853674,57.75,6,109.462333,2185460,1.44650932301364,None
60,10000,75,5.34,5.235,109.387455,9.14181612507577,185.458220899287,184.187486054123,184.189987,0.190980988156956,57.2643326925,57.9022759828108,57.15,7,109.368248,2165009,1.42946107227478,None
70,10000,75,6.23,6.33333333333333,108.761744,9.19440938718305,225.934903047091,227.362022854737,227.385975,0.157886014053158,68.8824378666667,67.5921052631579,68.72,12,108.74472,2267771,1.51517053113253,None
70,10000,75,6.23,6.285,108.915886,9.18139710124564,220.520587230734,223.193735953328,223.218588,0.159075314888889,68.453634351,68.3770883054893,68.3,8,108.896106,2263352,1.51148512270585,None
70,10000,75,6.23,6.26833333333333,109.107592,9.16526505323296,222.882504858036,224.046975275459,224.070672,0.159421514316671,68.3922755853333,68.4259505450678,68.24,8,109.089091,2252472,1.50241641954862,None
70,10000,75,6.23,6.30333333333333,109.05542,9.1696497065437,212.583836260605,218.493914327604,218.496032,0.158622997519302,68.7412664066667,67.270323859881,68.58,8,109.037105,2268208,1.51553403110165,None
70,10000,75,6.23,6.21166666666667,108.962651,9.17745659473722,211.287849440435,214.464295674806,214.488685,0.160934945201503,67.6839667128333,67.5610410517843,67.53,10,108.941507,2245896,1.49693168147158,None
70,10000,75,6.23,6.33,108.79299,9.19176869759715,201.486273227699,210.165527723012,210.188229,0.15795927559347,68.86596267,67.9173249078462,68.7,7,108.77344,2266615,1.51420690847658,None
70,10000,75,6.23,6.15,108.965304,9.17723314937019,233.304690770485,228.286672566396,228.310299,0.162579294526016,67.01366196,68.4688346883469,66.87,12,108.948859,2240511,1.49243990934812,None
70,10000,75,6.23,6.29,108.843198,9.18752865015965,236.609951180638,232.928275385003,232.930416,0.158974167328299,68.462371542,69.8503112995099,68.3,9,108.8261,2251909,1.50194747709919,None
70,10000,75,6.23,6.18166666666667,108.952009,9.17835301228819,224.66174798994,223.129027159881,223.153,0.161764548465085,67.3505002301667,68.2528983553519,67.2,9,108.931272,2246641,1.49755091232543,None
80,10000,75,7.12,7.03,108.641047,9.20462410492049,289.45243813852,288.536189230441,288.557566,0.14223495731982,76.374656041,76.4935988620199,76.18,14,108.620392,2299690,1.54181456461376,None
80,10000,75,7.12,7.13,108.536075,9.21352647034638,297.323400915477,296.610629364423,296.633266,0.140217084998364,77.386221475,76.7297802711547,77.19,20,108.515349,2300328,1.54235173131879,None
80,10000,75,7.12,7.16666666666667,108.637436,9.20493005744355,303.371971350005,302.711079486744,302.7131,0.139505681749302,77.8568291333333,77.9793047320079,77.66,15,108.618304,2315401,1.55491778594586,None
80,10000,75,7.12,7.13833333333333,108.61319,9.20698489750646,285.950422503947,288.215220959141,288.236331,0.139994363697408,77.5317154616667,76.8970347886995,77.35,14,108.59445,2318470,1.55747417202462,None
80,10000,75,7.12,7.09833333333333,108.556433,9.21179862274951,289.116080357103,289.056477401268,289.077585,0.14082015227753,77.0569746911667,77.0016435783048,76.86,15,108.540729,2300103,1.54216243099925,None
80,10000,75,7.12,6.95666666666667,108.663098,9.20275621076071,284.273994970577,282.36254974461,282.383544,0.143710978489698,75.5932951753333,75.0119789171059,75.41,14,108.645107,2302432,1.54409593804215,None
80,10000,75,7.12,7.16,108.598877,9.20819834997005,282.401844511719,286.930982128724,286.953215,0.139642596630819,77.756795932,77.2695530726257,77.56,13,108.577277,2308384,1.54906848707121,None
80,10000,75,7.12,7.17,108.792652,9.19179725483666,292.864335423114,294.068120357043,294.089647,0.139376761657834,78.004331484,77.928870292887,77.81,14,108.775514,2293086,1.5363187317544,None
80,10000,75,7.12,7.04,108.575004,9.21022300860334,291.959904442149,289.762968460227,289.786877,0.141881016777225,76.436802816,76.8702651515152,76.25,12,108.556748,2312526,1.55251387406963,None
90,10000,75,8.01,7.945,108.453053,9.22057952577877,459.195885072576,457.064549568492,457.082827,0.125834474794,86.1659506085,86.8470736312146,85.94,20,108.432997,2336672,1.57269231301391,None
90,10000,75,8.01,7.91166666666667,108.262177,9.23683624060137,404.335509052118,408.443570402781,408.462904,0.126394631622077,85.6534257031667,84.8641247103434,85.42,20,108.245595,2343798,1.57862924030519,None
90,10000,75,8.01,8.01833333333333,108.279442,9.23536344045807,463.057512876786,463.811472152151,463.83063,0.124671714155685,86.8220659103333,87.3726875909374,86.59,17,108.261545,2343947,1.57875979560054,None
90,10000,75,8.01,7.875,108.292683,9.23423422799489,384.701436130008,389.764848873651,389.783311,0.126960718589841,85.2804878625,85.005291005291,85.05,16,108.272385,2339154,1.57475631356941,None
90,10000,75,8.01,7.90166666666667,108.246828,9.23814598982984,429.664332303648,429.544032924489,429.56321,0.126498770481544,85.533035258,84.8344231174858,85.31,20,108.225948,2341934,1.57707494041386,None
90,10000,75,8.01,7.84166666666667,108.430265,9.22251734790098,455.115355383119,449.175179312646,449.193909,0.127516374883953,85.0273994708333,85.2178533475027,84.8,21,108.413584,2343017,1.57797488382684,None
90,10000,75,8.01,7.88333333333333,108.438357,9.22182913560743,457.893254785924,452.946584244398,452.966945,0.126833352699789,85.485571435,85.6553911205074,85.26,19,108.417531,2338901,1.57454656926363,None
90,10000,75,8.01,7.88833333333333,108.431932,9.22237556368543,407.949738963682,410.583557332136,410.603086,0.126753599079654,85.5347223593333,85.2841749418973,85.31,17,108.414067,2349166,1.58310303769118,None
90,10000,75,8.01,7.81833333333333,108.496378,9.21689754472725,363.482170646486,370.884740489235,370.905505,0.12788795437007,84.8260848663334,84.3636751225752,84.6,13,108.475806,2343448,1.57833304844587,None
100,10000,75,8.9,8.93666666666667,108.211135,9.24119315447528,1229.29796914505,1245.60568525345,1245.624142,0.111888939532264,96.7046843116667,96.3912719134651,96.42,34,108.190454,2374270,1.60408916928546,None
100,10000,75,8.9,8.92666666666667,108.219954,9.24044007632825,1499.74190162311,1506.62242898114,1506.639671,0.11199224270351,96.604345604,96.7139656460045,96.31,43,108.201394,2375133,1.60480792308031,None
100,10000,75,8.9,8.935,108.079356,9.25246075670547,1406.80057122535,1416.79075806864,1416.808486,0.111899459498228,96.568904586,96.1108002238388,95.96,45,108.059296,2372313,1.60245536798704,None
100,10000,75,8.9,8.97333333333333,108.129158,9.24819926924799,1575.97134429458,1583.98398671452,1584.001213,0.11143355094688,97.0278977786667,96.9817979197623,96.58,58,108.111579,2373863,1.60375079234408,None
100,10000,75,8.9,9.03166666666667,108.08896,9.25163865023773,1417.12940542835,1440.12386666562,1440.141725,0.110712080616719,97.6223457066667,96.9090238051301,96.53,52,108.067856,2370971,1.60133986979157,None
100,10000,75,8.9,8.93166666666667,108.044651,9.25543273771137,1149.0253114903,1165.36789297668,1165.36945,0.111938789275611,96.5018807848333,96.0630655844762,96.05,35,108.023913,2371441,1.6017290021905,None
10,10000,80,0.89,0.881666666666667,115.074124,8.69005094490226,102.915584206746,121.029874034027,121.204301,1.13207090282798,10.1457019326667,8.88468809073724,10.22,2,115.031823,1267105,0.78607707662424,None
10,10000,80,0.89,0.89,114.609438,8.72528491065457,105.205571687077,120.749630700375,120.912906,1.12216317973408,10.200239982,9.17602996254682,10.29,2,114.567212,1237694,0.774843212480569,None
10,10000,80,0.89,0.911666666666667,114.41914,8.73979650607407,100.264363705637,119.769042859232,119.936831,1.0952545545192,10.4312115966667,8.95795246800731,10.5,2,114.376908,1257313,0.782337660899898,None
10,10000,80,0.89,0.865,114.564956,8.72867266670971,158.152071012507,123.521830757225,123.699318,1.15522368611175,9.909868694,12.9094412331407,10,2,114.518798,1213762,0.765701130811726,None
10,10000,80,0.89,0.908333333333333,114.270807,8.75114148795676,132.312094941503,121.992907183486,122.162169,1.1007615085156,10.3795983025,11.2844036697248,10.47,2,114.227596,1255042,0.781470122467942,None
10,10000,80,0.89,0.848333333333333,114.10999,8.76347460901539,143.584438843451,121.612306017682,121.791796,1.1729675950609,9.68033081833333,11.0019646365422,9.77,2,114.063432,1206499,0.762926256442774,None
10,10000,80,0.89,0.876666666666667,114.378103,8.74293220267869,123.610287845711,121.643884743346,121.822494,1.13982901448479,10.0271470296667,10.4562737642586,10.11,2,114.332956,1226336,0.770504304620882,None
10,10000,80,0.89,0.878333333333333,114.554296,8.72948492477314,138.264279207429,123.301737920304,123.471275,1.13803210639469,10.0616856653333,11.7647058823529,10.14,2,114.511334,1211872,0.76497960539868,None
10,10000,80,0.89,0.875,114.540146,8.73056334326656,121.904761904762,121.453769573333,121.63712,1.14165659334857,10.022262775,10.0952380952381,10.1,2,114.499631,1225338,0.77012307225603,None
20,10000,80,1.78,1.71833333333333,112.730084,8.87074651696348,115.150038430385,125.575913921436,125.665815,0.581562797627546,19.3707861006667,18.2347235693501,19.43,3,112.694571,1551913,0.918330753630974,None
20,10000,80,1.78,1.85833333333333,112.520273,8.88728736020753,125.42385827104,128.110756163229,128.117431,0.537915096343498,20.9100173991667,20.2599731062304,20.95,3,112.484809,1601849,0.959951982630028,None
20,10000,80,1.78,1.73333333333333,112.81994,8.86368136696403,118.713017751479,125.929608759615,126.014195,0.576673405355769,19.5554562666667,18.9423076923077,19.6,3,112.784983,1560850,0.92577927156148,None
20,10000,80,1.78,1.73666666666667,112.8647,8.86016619899756,125.441624515088,127.078947243762,127.167511,0.575445315404031,19.6008362333333,19.1938579654511,19.65,4,112.825078,1568979,0.932553989586018,None
20,10000,80,1.78,1.78666666666667,112.904371,8.8570530187888,124.262085096904,127.23944206903,127.322804,0.55931333964459,20.1722476186667,20.0559701492537,20.22,2,112.869934,1598397,0.957072442625464,None
20,10000,80,1.78,1.70166666666667,113.398681,8.81844472247433,107.631990683406,124.823157887365,124.914595,0.58715245562096,19.2966755501667,17.335945151812,19.34,2,113.364338,1556059,0.921785615689033,None
20,10000,80,1.78,1.86333333333333,112.99751,8.84975252994513,109.397728717624,125.602310398032,125.608562,0.53661120043381,21.0552026966667,19.2668752793921,21.1,2,112.960594,1627086,0.980984607880299,None
20,10000,80,1.78,1.64833333333333,113.009299,8.84882933394711,117.470128951326,125.267186112235,125.355914,0.606669997773509,18.6276994518333,17.8463094034378,18.67,2,112.967999,1544437,0.912097695063729,None
20,10000,80,1.78,1.87333333333333,112.890311,8.85815612643675,134.876711287851,128.847421774911,128.932179,0.533006934043594,21.1481182606667,22.4199288256228,21.19,3,112.857718,1607236,0.964442305436615,None
30,10000,80,2.67,2.665,111.586209,8.96168091883111,136.34224955325,134.940746978111,135.001301,0.375218332390244,29.7377246985,30.5190744215135,29.75,3,111.558018,1810193,1.13361904150755,None
30,10000,80,2.67,2.66833333333333,111.784352,8.94579591962925,143.960617992893,137.63085661649,137.690016,0.374536220321049,29.8277912586667,31.0430980637102,29.85,5,111.749648,1811740,1.13490873499896,None
30,10000,80,2.67,2.59833333333333,111.492029,8.96925106636996,138.737969973845,133.803880035921,133.863588,0.384398125851187,28.9693455351667,29.8268120590122,28.99,3,111.456505,1790915,1.11754955552222,None
30,10000,80,2.67,2.69833333333333,111.483177,8.96996324387132,126.546046189307,133.872456953058,133.879066,0.370435520769611,30.0818772605,29.4535350416795,30.09,3,111.449725,1804310,1.12871755817603,None
30,10000,80,2.67,2.75166666666667,111.582833,8.9619520594176,127.338716215894,133.375962366445,133.431558,0.363415606491218,30.7038762138333,29.5881284070261,30.72,4,111.552019,1823446,1.14466822378128,None
30,10000,80,2.67,2.695,111.693974,8.95303447614819,126.554247943063,133.047223850959,133.101487,0.371014093016079,30.101525993,28.6641929499072,30.11,5,111.657559,1834469,1.15385224752499,None
30,10000,80,2.67,2.61666666666667,111.393896,8.97715257216607,129.984989249057,132.902044550955,132.957227,0.382059090451592,29.1480694533333,28.343949044586,29.17,4,111.364586,1806746,1.13074387381994,None
30,10000,80,2.67,2.69666666666667,111.502849,8.9683807092678,131.325431907114,134.062228447466,134.117882,0.370402177771323,30.0686016136667,30.0370828182942,30.08,3,111.474244,1832651,1.15233699310751,None
40,10000,80,3.56,3.66,110.687854,9.03441492324894,151.480087989091,148.959639325592,149.001242,0.273184865732696,40.511754564,41.4389799635701,40.49,5,110.661487,1976292,1.27209555043893,None
40,10000,80,3.56,3.47333333333333,110.858382,9.0205177268418,144.368389447431,145.598961573896,145.646118,0.287781054238964,38.504811348,38.2437619961612,38.49,6,110.832577,1950410,1.25051574187463,None
40,10000,80,3.56,3.49,110.811004,9.02437451067585,148.12412596503,146.182552718243,146.225158,0.28652546845702,38.673040396,38.8013371537727,38.65,5,110.786474,1952207,1.252014126542,None
40,10000,80,3.56,3.64833333333333,110.859995,9.02038647936075,150.384381728402,149.306568667885,149.350549,0.273881627376428,40.4454215091667,40.2923709456373,40.41,6,110.834062,1998468,1.29057726177934,None
40,10000,80,3.56,3.63833333333333,110.710295,9.0325836454505,144.00260312398,146.628161321118,146.631601,0.27480507766514,40.2800956641667,40.2335699564919,40.24,5,110.675326,1962485,1.26058728313959,None
40,10000,80,3.56,3.47833333333333,110.756822,9.02878921534964,138.581204889648,143.167407620029,143.216344,0.28734339240345,38.5249145856667,37.8054623862003,38.52,5,110.729219,1951229,1.25119845070608,None
40,10000,80,3.56,3.645,110.870399,9.01954001265928,136.735153416215,144.880998915409,144.925375,0.274324199274806,40.4122604355,38.7059899405578,40.39,4,110.844389,1973793,1.27001235812948,None
40,10000,80,3.56,3.62666666666667,110.525743,9.04766593607066,143.253102022059,146.062047845129,146.109776,0.275560143284007,40.0840027946667,40.234375,40.06,4,110.496384,1988018,1.28186633581823,None
40,10000,80,3.56,3.49333333333333,110.745171,9.02973909354477,149.61704591807,146.274015881679,146.316902,0.286195928010019,38.686979736,38.8597328244275,38.66,4,110.716547,1951073,1.25106907015259,None
40,10000,80,3.56,3.48,110.998703,9.00911427766863,153.724622363148,149.153804216475,149.200977,0.287008018204981,38.627548644,38.3141762452107,38.61,6,110.972011,1966248,1.26371603587858,None
50,10000,80,4.45,4.39666666666667,110.19057,9.0751867423864,163.643167078697,162.551339116755,162.588601,0.227407745654663,48.44712061,48.9764973464746,48.38,6,110.163557,2086786,1.36422243627724,None
50,10000,80,4.45,4.39,109.891355,9.09989689361825,166.475544093967,163.363756740699,163.39899,0.227556021,48.242304845,48.8990129081245,48.19,6,109.869927,2085754,1.36336140157947,None
50,10000,80,4.45,4.45,110.340061,9.06289149142305,152.001009973488,158.759515939326,158.795328,0.224633327455431,49.101327145,47.0411985018727,49.04,5,110.314194,2100677,1.37580304284292,None
50,10000,80,4.45,4.31666666666667,110.326033,9.06404384176489,146.777776121406,154.876965327027,154.91291,0.231585395625869,47.6240709116667,46.5250965250965,47.58,5,110.300176,2088461,1.36561458334097,None
50,10000,80,4.45,4.36666666666667,109.965196,9.09378636491495,160.130528523979,160.401237788931,160.434884,0.228745297584351,48.0181355866667,47.824427480916,47.96,5,109.941483,2083009,1.36107248392696,None
50,10000,80,4.45,4.46333333333333,110.055871,9.08629399698268,156.281286236259,159.393722049291,159.428636,0.223945207912621,49.1216037563333,48.9544436146378,49.05,6,110.033116,2088949,1.36602842431149,None
50,10000,80,4.45,4.50833333333333,109.837907,9.1043249758938,158.343042425029,162.147945220333,162.183686,0.221609690949723,49.5185897391667,48.3918669131239,49.44,5,109.816101,2092058,1.36862150316757,None
50,10000,80,4.45,4.31333333333333,109.983014,9.09231310936796,162.068046188124,160.081227406105,160.08436,0.231834403328439,47.4393400386667,48.0394050608461,47.38,6,109.958868,2079507,1.35815096440159,None
60,10000,80,5.34,5.44666666666667,109.529116,9.12999243050588,199.020133665124,196.13687127295,196.165807,0.183505571720318,59.6568585146667,59.2411260709914,59.54,8,109.507808,2185603,1.44663758050292,None
60,10000,80,5.34,5.52333333333333,109.694446,9.11623182818208,188.971714884168,190.923210560954,190.950265,0.181049424916415,60.5878990073333,60.5310802655401,60.47,9,109.671894,2193787,1.45346344126096,None
60,10000,80,5.34,5.34333333333333,109.561444,9.12729846824582,179.268519062628,182.626855780412,182.655034,0.186992752564255,58.5423315773333,58.5152838427948,58.42,7,109.541544,2181483,1.4431980129261,None
60,10000,80,5.34,5.39833333333333,109.495377,9.13280567087321,205.316476666316,196.977670600185,197.004727,0.185177739222908,59.1092543505,60.3890089533807,59.01,10,109.472401,2179706,1.44171992090983,None
60,10000,80,5.34,5.41833333333333,109.556936,9.1276740342574,186.062996871701,188.321399868348,188.349794,0.184548302821901,59.3615998226667,59.0126115041526,59.27,9,109.533075,2180943,1.44275223836852,None
60,10000,80,5.34,5.34,109.585577,9.12528844922722,174.202892451851,178.974562535268,179.003033,0.187254422674782,58.518698118,57.0224719101124,58.4,8,109.563366,2180007,1.44196771188093,None
60,10000,80,5.34,5.33333333333333,109.425841,9.13860922485394,173.205358537729,179.598168510313,179.600908,0.187489264457813,58.3604485333333,57.2254335260116,58.26,7,109.400974,2186243,1.44716451328925,None
60,10000,80,5.34,5.375,109.461521,9.13563041025165,185.556156480981,185.49711743783,185.525652,0.186023779848992,58.8355675375,59.4263565891473,58.73,6,109.437437,2173036,1.43615926403146,None
70,10000,80,6.23,6.315,108.967935,9.17701156766897,224.344045468955,225.541612010821,225.565628,0.158346797537609,68.8132509525,69.7149643705463,68.66,8,108.94908,2251553,1.50165263357494,None
