CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
10,10000,75,0.89,0.838333333333333,113.087876,8.84268089003635,132.801599943085,119.92439848509,120.361023,1.19079818555268,9.48053360466667,10.5367793240557,9.56,2,113.070328,1274232,0.788797413482365,None
10,10000,75,0.89,0.923333333333333,113.629122,8.80056082805955,103.611411591445,120.167731463899,120.33343,1.08263265460469,10.491755598,8.84476534296029,10.57,2,113.607936,1328683,0.809598989239469,None
10,10000,75,0.89,0.925,113.840326,8.7842334534425,87.6552227903579,119.05974661982,119.229611,1.07838197351712,10.530230155,7.92792792792793,10.63,2,113.825383,1343212,0.815148803052621,None
10,10000,75,0.89,0.928333333333333,113.275139,8.82806244007346,139.242995142611,120.127404044883,120.301431,1.07623678662478,10.5157087371667,12.5673249551167,10.61,2,113.260216,1317516,0.805333664130671,None
10,10000,75,0.89,0.891666666666667,114.088938,8.76509166909766,106.908900340641,120.194484001869,120.364153,1.12080274850841,10.172930305,8.97196261682242,10.27,2,114.071982,1330419,0.810261161851615,None
10,10000,75,0.89,0.858333333333333,114.044093,8.76853832315541,144.782731642945,121.875016986408,122.050369,1.16379465611845,9.78878464916667,11.6504854368932,9.87,2,114.02622,1287916,0.794025170392863,None
10,10000,75,0.89,0.895,114.032184,8.7694540692126,111.315710079794,120.609126426443,120.787361,1.11717704307635,10.205880468,9.40409683426444,10.32,2,114.015263,1350692,0.818004960955543,None
20,10000,75,1.78,1.75166666666667,111.649323,8.95661498995386,123.030850053549,125.18870363844,125.273483,0.570792036943863,19.5572397455,18.9819219790676,19.61,3,111.628233,1677203,1.0227454318504,None
20,10000,75,1.78,1.74166666666667,111.995763,8.92890921239583,124.722419358531,125.942254500479,126.036509,0.573857070352153,19.5059287225,19.2344497607655,19.56,3,111.977335,1676635,1.02227187830019,None
20,10000,75,1.78,1.81,112.292166,8.90534073409894,135.832239553127,128.647784813076,128.7411,0.551865683708103,20.324882046,21.6390423572744,20.39,4,112.267641,1667814,1.01492385476422,None
20,10000,75,1.78,1.895,112.014525,8.9274136546131,131.345971322023,128.140127396658,128.21723,0.527332413406332,21.2267524875,21.2840809146878,21.27,3,111.999235,1691279,1.03448258199104,None
20,10000,75,1.78,1.80166666666667,112.887828,8.85835096410926,134.718841777211,128.612045973173,128.61924,0.554960245583719,20.338623678,20.5732778548313,20.37,3,112.86611,1678565,1.02388345189641,None
20,10000,75,1.78,1.79,111.828025,8.94230225384022,113.656460992687,124.237400945996,124.320817,0.557728690946928,20.017216475,18.1564245810056,20.07,3,111.80203,1658684,1.00731385899213,None
20,10000,75,1.78,1.735,112.355772,8.90029930994555,122.855391732994,126.193273471662,126.200462,0.575036771290106,19.493726442,19.5871339414306,19.54,2,112.335246,1645106,0.995996205320019,None
20,10000,75,1.78,1.795,111.511444,8.9676894507796,120.007345277168,125.00927694429,125.099306,0.556856831456825,20.016304198,19.6843082636954,20.06,2,111.489274,1713902,1.05333138900177,None
20,10000,75,1.78,1.79833333333333,111.816258,8.94324329830462,123.170374518678,125.434131223355,125.516805,0.555756023993513,20.108290397,20.2965708989805,20.17,3,111.791132,1648981,0.999227956463264,None
30,10000,75,2.67,2.605,111.218081,8.99134377260115,127.427083902387,133.162039071017,133.168939,0.383573863274472,28.9723101005,27.6942756635753,29,4,111.197904,1850515,1.16722027152872,None
30,10000,75,2.67,2.70833333333333,111.213511,8.99171324606414,124.515976331361,132.902915306462,132.959437,0.368941646140923,30.1203258958333,29.0461538461538,30.15,3,111.192331,1884422,1.19548340997916,None
30,10000,75,2.67,2.655,111.558118,8.96393752357852,126.258596046971,133.37846123666,133.431864,0.376622217558067,29.618680329,27.9033270558694,29.64,4,111.528507,1802800,1.12745723833713,None
30,10000,75,2.67,2.63166666666667,111.250936,8.9886884187653,136.689553877864,133.901221493984,133.960713,0.379877143393287,29.2775379906667,30.3989867004433,29.29,4,111.221714,1822516,1.14388711428519,None
30,10000,75,2.67,2.66833333333333,111.442816,8.97321187576595,131.08609118052,134.198203953779,134.2607,0.374282475930044,29.7366580693333,28.6071205496565,29.74,3,111.413878,1836394,1.15545497304876,None
30,10000,75,2.67,2.66333333333333,111.40472,8.9762803586778,119.125753249133,131.812580072591,131.870353,0.3751457136796,29.6707904266667,27.6595744680851,29.7,3,111.376463,1829174,1.14943763882362,None
30,10000,75,2.67,2.565,111.855325,8.94011974843397,123.621449841483,131.732263320988,131.793446,0.389791745156595,28.6908908625,27.3879142300195,28.71,4,111.826245,1803079,1.12768586920331,None
30,10000,75,2.67,2.705,111.595772,8.96091296362016,125.164712889915,133.304560968577,133.363812,0.369645659662354,30.186656326,29.0511398644485,30.2,3,111.567194,1821470,1.14301922007338,None
40,10000,75,3.56,3.65333333333333,110.468286,9.05237182733151,143.979101177474,146.389807267792,146.433347,0.273644487499544,40.357747152,39.9178832116788,40.34,5,110.439142,1972445,1.2688886698623,None
40,10000,75,3.56,3.69,110.514709,9.04856927234908,145.171280077751,147.040374954381,147.079317,0.270962935829268,40.779927621,40.7407407407408,40.74,4,110.490421,2006988,1.29767959588061,None
40,10000,75,3.56,3.64166666666667,110.793618,9.02579063714663,148.861857160063,149.339901527689,149.38138,0.274554527223341,40.347342555,39.4736842105263,40.32,4,110.768265,2001916,1.2934505004158,None
40,10000,75,3.56,3.58333333333333,110.595447,9.04196354484647,147.063277447269,147.739150379535,147.780489,0.279038530293954,39.630035175,39.6511627906977,39.6,4,110.565612,1977391,1.27300740615211,None
40,10000,75,3.56,3.50666666666667,110.743152,9.02990371810981,144.618615275629,144.943896031369,144.987291,0.285028800804183,38.833931968,39.2585551330799,38.81,5,110.715436,1957975,1.25682203657,None
40,10000,75,3.56,3.53,110.708791,9.03270635481874,144.853100498359,146.487008961756,146.529627,0.282915537955619,39.080203223,38.4324834749764,39.06,5,110.681709,1999182,1.29116607048651,None
40,10000,75,3.56,3.565,110.655491,9.03705718498868,148.120754806056,147.667156991585,147.707527,0.280470747223001,39.4486825415,39.2940626460963,39.42,5,110.620463,1980432,1.27554102545664,None
40,10000,75,3.56,3.7,110.548361,9.04581479955185,147.492086681276,146.830533307658,146.872361,0.270262521372973,40.90289357,41.8693693693694,40.86,4,110.521229,2002018,1.29353801678191,None
40,10000,75,3.56,3.70833333333333,110.373953,9.06010859283077,148.587299583386,147.840962758202,147.880882,0.26929615387191,40.9303409041667,41.752808988764,40.89,6,110.349944,1985277,1.27958573540743,None
50,10000,75,4.45,4.26333333333333,110.312299,9.06517232498255,157.671191760079,157.991193560985,158.029304,0.234517673325645,47.0298101403333,46.7357310398749,46.97,8,110.287387,2069960,1.35019211426337,None
50,10000,75,4.45,4.23,110.013472,9.08979583882236,160.165950367651,158.439012384949,158.475167,0.236379040978329,46.535698656,47.1828211189913,46.49,5,109.989656,2065078,1.34612095073161,None
