Mod. Lambda,Mes. Lambda,Mes. MST,Mes. MSR,Mod. MRT,MRT=k/lambda,Mes. MRT,Mod. Power,Mod. U,1-Pi_0,Mes. U,State,Mes MCpuTime,Mes Average Power,Mes Total Power,Mes frequency
0.56,0.578333333333333,213.345898,4.68722393715768,243.374695609869,169.178778015052,224.362006,107.646001637333,12.3385044343333,9.49640287769785,12.40,2,213.292916,1.14555737704918032786,698.79,800000
0.56,0.551666666666667,211.439779,4.72947902579864,239.359720839107,191.38494347309,225.51195,107.571920616118,11.6644278081667,9.95475113122171,11.74,2,211.388418,1.02483606557377049180,625.15,800000
0.56,0.575,213.11401,4.69232407573768,242.876193762046,226.514817844334,227.910696,107.636720707693,12.254055575,11.287988422576,12.33,2,213.060213,1.01555737704918032786,619.49,800000
0.56,0.538333333333333,215.307379,4.64452265707066,243.534801042693,338.786779659395,237.304002,107.563819457921,11.5907139028333,16.6924265842349,11.67,3,215.259134,1.00277049180327868852,611.69,800000
0.56,0.536666666666667,211.816034,4.72107791424326,238.982246446056,260.002888920988,227.92214,107.539283907998,11.3674604913333,12.7131782945737,11.45,3,211.768025,1.01011475409836065573,616.17,800000
0.56,0.566666666666667,214.980354,4.65158783764957,244.802765620905,196.942213008551,227.309706,107.628825984594,12.18222006,10.8663729809104,12.27,2,214.926824,1.00803278688524590163,614.90,900000
0.56,0.545,210.938848,4.74071044514285,238.338658750307,252.118495692976,228.15422,107.553428777038,11.496167216,13.4351145038168,11.59,2,210.888275,1.01083606557377049180,616.61,900000
0.56,0.598333333333333,208.691477,4.79176253086752,238.46831623818,258.018526195079,224.039911,107.662289067118,12.4867067071667,15.1599443671766,12.58,2,208.639651,1.03244262295081967213,629.79,900000
0.56,0.596666666666667,210.332513,4.75437670447079,240.517013189343,303.873214744863,229.463665,107.669227409662,12.5498399423333,15.6206415620642,12.64,2,210.28863,1.04952459016393442622,640.21,900000
0.56,0.553333333333333,209.517004,4.77288230028337,236.992154335116,233.716822175922,225.605732,107.564100836925,11.5932742213333,12.3308270676692,11.69,2,209.467,1.01901639344262295081,621.60,900000
0.56,0.576666666666667,217.659172,4.59433889604248,248.900344007246,302.780071566199,239.326574,107.669429513162,12.5516789186667,14.2857142857143,12.65,4,217.613022,.99154098360655737704,604.84,1200000
0.56,0.575,210.230171,4.75669117921233,239.137697439523,140.942553325363,219.574374,107.618497008092,12.0882348325,8.1041968162084,12.19,1,210.181022,1.02303278688524590163,624.05,1200000
0.56,0.528333333333333,211.046376,4.73829505605915,237.531850848405,262.301597158399,229.426973,107.515416160167,11.150283532,12.5984251968504,11.25,2,211.013038,1.01059016393442622950,616.46,1200000
0.56,0.555,210.33779,4.75425742563902,238.13734159149,183.691937814876,222.849227,107.572944833216,11.673747345,9.5952023988006,11.78,2,210.291043,1.02003278688524590163,622.22,1200000
0.56,0.568333333333333,212.420434,4.70764502816146,241.586059162796,185.484944375985,222.851949,107.616774490423,12.0725613323333,10.2489019033675,12.17,2,212.372564,1.00340983606557377049,612.08,1200000
0.56,0.55,218.666542,4.57317333897383,248.560008665962,187.044423050475,230.173588,107.611729913119,12.02665981,10.2874432677761,12.14,1,218.618164,.97031147540983606557,591.89,800000
0.57,0.553333333333333,212.382262,4.70849114508442,240.664746155231,211.975722438627,223.922503,107.581524852857,11.7518184973333,11.1278195488722,11.85,2,212.325279,1.01185245901639344262,617.23,1300000
0.57,0.575,213.872399,4.67568515000386,243.861687357065,261.750456175675,232.360883,107.641513157381,12.2976629425,13.603473227207,12.40,2,213.816226,1.00857377049180327868,615.23,1300000
0.57,0.555,216.437941,4.62026202697983,245.986603904822,194.497345921634,229.002496,107.610152399232,12.0123057255,10.4947526236882,12.11,2,216.384639,.99124590163934426229,604.66,1300000
0.57,0.555,215.926957,4.63119572420965,245.326786950078,256.628442535489,233.145344,107.607035677874,11.9839461135,12.743628185907,12.08,2,215.873578,.98970491803278688524,603.72,1300000
0.57,0.608333333333333,210.854548,4.74260578908642,241.880526913131,224.874913329461,227.914599,107.699685651866,12.8269850033333,12.311901504788,12.92,2,210.809122,1.03460655737704918032,631.11,1300000
0.58,0.608333333333333,203.355503,4.91749662658502,232.06361234118,182.148679796863,216.500024,107.649550161598,12.3707930991667,10.2599179206566,12.46,2,203.302349,1.05552459016393442622,643.87,1000000
0.58,0.571666666666667,216.014273,4.62932372991853,246.447638233524,229.162157689027,231.971954,107.647134871788,12.3488159398333,12.2270742358079,12.44,2,215.957902,1.00054098360655737704,610.33,1000000
0.58,0.583333333333333,201.130345,4.97190018741329,227.864820851555,264.112492357856,217.394091,107.579413120071,11.7326034583333,14.8359486447932,11.83,2,201.081095,1.03595081967213114754,631.93,1000000
0.58,0.568333333333333,201.549232,4.96156690887316,227.622770973911,200.942023073984,215.701951,107.548873143918,11.4547146853333,10.8345534407028,11.55,2,201.502354,1.05865573770491803278,645.78,1000000
0.58,0.62,199.832868,5.00418179455844,228.092731291659,186.187486468933,214.050463,107.651621195978,12.389637816,10.4697986577181,12.48,2,199.789484,1.05013114754098360655,640.58,1000000
0.58,0.556666666666667,210.096219,4.75972392439866,237.922050231504,236.298703042346,223.406282,107.575319645391,11.695356191,12.2571001494768,11.80,2,210.047204,1.01681967213114754098,620.26,1100000
0.58,0.568333333333333,213.386754,4.68632649991011,242.836731278815,154.570786979987,223.699279,107.622810109038,12.127480519,8.49194729136164,12.23,2,213.334926,.99916393442622950819,609.49,1100000
0.58,0.566666666666667,211.516877,4.72775512849502,240.321735328022,181.394143560508,221.584723,107.60725660433,11.9859563633333,9.69162995594714,12.08,2,211.463531,1.01339344262295081967,618.17,1100000
0.58,0.606666666666667,210.591148,4.74853767357781,241.43678022116,221.589110477999,227.469491,107.694067341356,12.7758629786667,13.1687242798354,12.87,2,210.535442,1.01818032786885245901,621.09,1100000
0.58,0.656666666666667,211.98419,4.71733292940384,246.265005616573,212.310127193067,229.580313,107.819840436252,13.9202951433333,12.6742712294043,14.01,3,211.942151,1.02570491803278688524,625.68,1100000
0.59,0.568333333333333,209.202279,4.78006264931751,237.432162652249,247.31325916798,226.753976,107.596673947929,11.8896628565,13.1771595900439,12.00,2,209.153646,1.02549180327868852459,625.55,1400000
0.59,0.655,211.486471,4.72843485104066,245.493063365068,182.352541781041,224.8793,107.81237478717,13.8523638505,11.6899618805591,0.12,2,211.438,1.13765573770491803278,693.97,1400000
