Running for 480.0 seconds (480 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   CPU Freq  Freq Min  Freq Max
22:56:06  19.7   0.0   3.8  76.4   0.1    1  15908   7087   27    3    1   0.00E  0.90 GHz  0.80 GHz  2.13 GHz
22:56:07   1.2   0.0   2.0  96.8   0.0    1   8660   2090    6    2    6   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
22:56:08   1.8   0.0   2.2  95.7   0.3    2  12422   2826    0    0    0   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
22:56:09   1.1   0.0   1.5  97.4   0.0    2   6974   1946    0    0    0   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
22:56:10   4.3   0.0   2.2  93.4   0.1    1  10887   3859    0    0    1   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
22:56:11   0.8   0.0   1.0  98.2   0.0    1   4346   1430    0    0    0   0.00E  0.83 GHz  0.80 GHz  0.87 GHz
22:56:12   1.2   0.0   1.7  97.1   0.1    1   6075   1782    1    1    1   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
22:56:13   4.3   0.0   1.9  93.6   0.2    2  10844   3169    1    0    0   0.00E  0.87 GHz  0.79 GHz  2.10 GHz
22:56:14   9.2   0.0   1.5  89.3   0.1    2   8288   3240    0    0    0   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
22:56:15   9.7   0.0   1.3  88.9   0.1    2   6580   2963    0    0    0   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
22:56:16   9.6   0.0   1.9  88.4   0.0    2  10686   3689    0    0    0   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
22:56:17  11.9   0.0   1.9  86.1   0.1    3   9807   4455    0    0    0   0.00E  0.87 GHz  0.80 GHz  2.10 GHz
22:56:18   9.5   0.0   1.5  88.9   0.2    2   7286   2973    0    0    0   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
22:56:19   9.2   0.0   1.6  89.2   0.0    2   9136   3121    0    0    0   0.00E  0.87 GHz  0.80 GHz  2.10 GHz
22:56:20   8.4   0.0   1.7  89.8   0.1    2   9546   3087    0    0    0   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
