Mod. Lambda;Mes. Lambda;Mes. MST;Mes. MSR;Mod. MRT;MRT=k/lambda;Mes. MRT;;Mod. U;1-Pi_0;Mes. U;State;Mes MCpuTime;Mes Average Power;Mes Total Power;Mes frequency
0,56;0,578333333;213,345898;4,687223937;243,3746956;169,178778;224,362006;107,6460016;12,33850443;9,496402878;12.40;2;213,292916;1.14555737704918032786;698.79;800000
0,56;0,551666667;211,439779;4,729479026;239,3597208;191,3849435;225,51195;107,5719206;11,66442781;9,954751131;11.74;2;211,388418;1.02483606557377049180;625.15;800000
0,56;0,575;213,11401;4,692324076;242,8761938;226,5148178;227,910696;107,6367207;12,25405558;11,28798842;12.33;2;213,060213;1.01555737704918032786;619.49;800000
0,56;0,538333333;215,307379;4,644522657;243,534801;338,7867797;237,304002;107,5638195;11,5907139;16,69242658;11.67;3;215,259134;1.00277049180327868852;611.69;800000
0,56;0,536666667;211,816034;4,721077914;238,9822464;260,0028889;227,92214;107,5392839;11,36746049;12,71317829;11.45;3;211,768025;1.01011475409836065573;616.17;800000
0,56;0,566666667;214,980354;4,651587838;244,8027656;196,942213;227,309706;107,628826;12,18222006;10,86637298;12.27;2;214,926824;1.00803278688524590163;614.90;900000
0,56;0,545;210,938848;4,740710445;238,3386588;252,1184957;228,15422;107,5534288;11,49616722;13,4351145;11.59;2;210,888275;1.01083606557377049180;616.61;900000
0,56;0,598333333;208,691477;4,791762531;238,4683162;258,0185262;224,039911;107,6622891;12,48670671;15,15994437;12.58;2;208,639651;1.03244262295081967213;629.79;900000
0,56;0,596666667;210,332513;4,754376704;240,5170132;303,8732147;229,463665;107,6692274;12,54983994;15,62064156;12.64;2;210,28863;1.04952459016393442622;640.21;900000
0,56;0,553333333;209,517004;4,7728823;236,9921543;233,7168222;225,605732;107,5641008;11,59327422;12,33082707;11.69;2;209,467;1.01901639344262295081;621.60;900000
0,56;0,576666667;217,659172;4,594338896;248,900344;302,7800716;239,326574;107,6694295;12,55167892;14,28571429;12.65;4;217,613022;.99154098360655737704;604.84;1200000
0,56;0,575;210,230171;4,756691179;239,1376974;140,9425533;219,574374;107,618497;12,08823483;8,104196816;12.19;1;210,181022;1.02303278688524590163;624.05;1200000
0,56;0,528333333;211,046376;4,738295056;237,5318508;262,3015972;229,426973;107,5154162;11,15028353;12,5984252;11.25;2;211,013038;1.01059016393442622950;616.46;1200000
0,56;0,555;210,33779;4,754257426;238,1373416;183,6919378;222,849227;107,5729448;11,67374735;9,595202399;11.78;2;210,291043;1.02003278688524590163;622.22;1200000
0,56;0,568333333;212,420434;4,707645028;241,5860592;185,4849444;222,851949;107,6167745;12,07256133;10,2489019;12.17;2;212,372564;1.00340983606557377049;612.08;1200000
0,56;0,55;218,666542;4,573173339;248,5600087;187,0444231;230,173588;107,6117299;12,02665981;10,28744327;12.14;1;218,618164;.97031147540983606557;591.89;800000
0,57;0,553333333;212,382262;4,708491145;240,6647462;211,9757224;223,922503;107,5815249;11,7518185;11,12781955;11.85;2;212,325279;1.01185245901639344262;617.23;1300000
0,57;0,575;213,872399;4,67568515;243,8616874;261,7504562;232,360883;107,6415132;12,29766294;13,60347323;12.40;2;213,816226;1.00857377049180327868;615.23;1300000
0,57;0,555;216,437941;4,620262027;245,9866039;194,4973459;229,002496;107,6101524;12,01230573;10,49475262;12.11;2;216,384639;.99124590163934426229;604.66;1300000
0,57;0,555;215,926957;4,631195724;245,326787;256,6284425;233,145344;107,6070357;11,98394611;12,74362819;12.08;2;215,873578;.98970491803278688524;603.72;1300000
0,57;0,608333333;210,854548;4,742605789;241,8805269;224,8749133;227,914599;107,6996857;12,826985;12,3119015;12.92;2;210,809122;1.03460655737704918032;631.11;1300000
0,58;0,608333333;203,355503;4,917496627;232,0636123;182,1486798;216,500024;107,6495502;12,3707931;10,25991792;12.46;2;203,302349;1.05552459016393442622;643.87;1000000
0,58;0,571666667;216,014273;4,62932373;246,4476382;229,1621577;231,971954;107,6471349;12,34881594;12,22707424;12.44;2;215,957902;1.00054098360655737704;610.33;1000000
0,58;0,583333333;201,130345;4,971900187;227,8648209;264,1124924;217,394091;107,5794131;11,73260346;14,83594864;11.83;2;201,081095;1.03595081967213114754;631.93;1000000
0,58;0,568333333;201,549232;4,961566909;227,622771;200,9420231;215,701951;107,5488731;11,45471469;10,83455344;11.55;2;201,502354;1.05865573770491803278;645.78;1000000
0,58;0,62;199,832868;5,004181795;228,0927313;186,1874865;214,050463;107,6516212;12,38963782;10,46979866;12.48;2;199,789484;1.05013114754098360655;640.58;1000000
0,58;0,556666667;210,096219;4,759723924;237,9220502;236,298703;223,406282;107,5753196;11,69535619;12,25710015;11.80;2;210,047204;1.01681967213114754098;620.26;1100000
0,58;0,568333333;213,386754;4,6863265;242,8367313;154,570787;223,699279;107,6228101;12,12748052;8,491947291;12.23;2;213,334926;.99916393442622950819;609.49;1100000
0,58;0,566666667;211,516877;4,727755128;240,3217353;181,3941436;221,584723;107,6072566;11,98595636;9,691629956;12.08;2;211,463531;1.01339344262295081967;618.17;1100000
0,58;0,606666667;210,591148;4,748537674;241,4367802;221,5891105;227,469491;107,6940673;12,77586298;13,16872428;12.87;2;210,535442;1.01818032786885245901;621.09;1100000
0,58;0,656666667;211,98419;4,717332929;246,2650056;212,3101272;229,580313;107,8198404;13,92029514;12,67427123;14.01;3;211,942151;1.02570491803278688524;625.68;1100000
0,59;0,568333333;209,202279;4,780062649;237,4321627;247,3132592;226,753976;107,5966739;11,88966286;13,17715959;12.00;2;209,153646;1.02549180327868852459;625.55;1400000
0,59;0,655;211,486471;4,728434851;245,4930634;182,3525418;224,8793;107,8123748;13,85236385;11,68996188;0.12;2;211,438;1.13765573770491803278;693.97;1400000
0,59;0,621666667;212,020741;4,716519692;244,2090092;202,4182521;225,159816;107,7385504;13,18062273;11,24497992;13.28;3;211,97247;1.00070491803278688524;610.43;1400000
0,59;0,631666667;211,285338;4,732936083;243,8269469;200,2356941;226,655161;107,7567463;13,34619052;11,5942029;13.45;2;211,241235;.99491803278688524590;606.90;1400000
0,59;0,606666667;211,561481;4,726758365;242,7130446;226,1113372;227,565118;107,7005368;12,83472985;13,16872428;12.93;2;211,517194;.98695081967213114754;602.04;1400000
0,59;0,61;213,033171;4,694104657;244,8517078;205,756715;227,041075;107,7181531;12,99502343;12,00545703;26.74;2;212,985183;1.15973782771535580524;309.65;1400000
1;0,958333333;183,680144;5,444246603;222,9200477;213,9538398;204,61228;108,2245346;17,60268047;18,0712424;17.70;3;183,61626;1.12314754098360655737;685.12;800000
1;1,01;181,652815;5,5050069;222,469069;210,5898966;204,118505;108,3063281;18,34693432;17,80708986;18.45;3;181,596789;1.13439344262295081967;691.98;800000
1;1,021666667;181,715872;5,503096614;223,1430618;194,6417674;203,246343;108,330327;18,56530492;18,09290954;18.66;3;181,652552;1.13585245901639344262;692.87;800000
1;1,05;184,465569;5,421065868;228,7771519;229,5985801;212,236778;108,4186404;19,36888475;20,45995242;19.45;4;184,396538;1.15080327868852459016;701.99;800000
1;1,07;181,70123;5,50354007;225,5533917;222,5535474;206,545738;108,4266793;19,44203161;20,54474708;19.53;3;181,637298;1.15509836065573770491;704.61;800000
