Mod. Lambda;Mes. Lambda;Mes. MST;Mes. MSR;Mod. MRT;MRT=k/lambda;Mes. MRT;;Mod. U;1-Pi_0;Mes. U;State;Mes MCpuTime;Mes Average Power;Mes Total Power;Mes frequency
1;0,973333333;181,148685;5,520327128;219,9255256;196,8665409;201,359311;108,2277354;17,63180534;17,96407186;17.73;3;181,092927;1.12818032786885245901;688.19;900000
1;0,978333333;182,096359;5,491597995;221,5691024;187,900975;202,830776;108,2478788;17,81509379;16,68085106;17.91;3;182,033813;1.15331147540983606557;703.52;900000
1;1,001666667;181,359752;5,513902555;221,6196193;189,2108332;199,014842;108,2864656;18,16620183;17,95511222;18.26;2;181,288982;1.14091803278688524590;695.96;900000
1;1,001666667;182,84775;5,469030929;223,8456372;214,1069954;205,795238;108,3028459;18,31524963;18,12136326;18.40;3;182,785601;1.14329508196721311475;697.41;900000
1;1,016666667;181,260537;5,516920652;222,2096804;203,0047932;202,51072;108,3152542;18,4281546;18,50941851;18.51;3;181,196244;1.13978688524590163934;695.27;900000
1;1;173,21324;5,77323073;209,50171;186,5112406;190,64328;108,1936135;17,321324;17,31890092;17.40;2;173,162246;1.03373770491803278688;630.58;1000000
1;1,005;171,576161;5,828315508;207,3262672;183,0120318;189,507437;108,1850501;17,24340418;16,57000829;17.33;3;171,525826;1.03045901639344262295;628.58;1000000
1;1,016666667;172,602379;5,793662902;209,3365686;187,6988762;192,543522;108,2185151;17,54790853;16,78951679;17.63;3;172,546088;1.04296721311475409836;636.21;1000000
1;1,043333333;171,645538;5,825959775;209,0901332;192,764203;191,688366;108,2581278;17,90835113;18,19632881;17.99;2;171,591147;1.03993442622950819672;634.36;1000000
1;1,091666667;173,782987;5,75430321;214,4709309;187,258721;193,365178;108,3749469;18,97130941;17,69641495;19.05;2;173,727795;1.05062295081967213114;640.88;1000000
1;0,895;175,048572;5,71270013;207,567921;197,4795375;191,290788;108,0117865;15,66684719;15,62790698;15.75;2;174,988855;1.00401639344262295081;612.45;1100000
1;0,995;174,697864;5,724168442;211,4536651;190,0716974;193,526379;108,2003299;17,38243747;16,73640167;17.47;2;174,647514;1.03060655737704918032;628.67;1100000
1;1,005;175,536095;5,696834033;213,1362689;169,8219755;190,905711;108,2287874;17,64137755;16,57000829;17.72;2;175,479004;1.03063934426229508196;628.69;1100000
1;1,006666667;174,176065;5,741316983;211,2088398;203,7697402;195,526212;108,2169563;17,53372388;17,86600496;17.62;3;174,121441;1.02937704918032786885;627.92;1100000
1;1,06;171,922356;5,8165792;210,2351202;155,6270287;187,91885;108,2927923;18,22376974;15,23959152;18.30;2;171,871369;1.03654098360655737704;632.29;1100000
1;0,951666667;199,240556;5,019058469;245,8577999;227,9925167;222,446754;108,3738204;18,96105958;19,94750656;19.05;2;199,140616;2.37640983606557377049;1449.61;1200000
1;0,951666667;199,240556;5,019058469;245,8577999;227,9925167;222,446754;108,3738204;18,96105958;19,94750656;19.05;2;199,140616;2.37640983606557377049;1449.61;1200000
1;0,976666667;187,490969;5,333590227;229,5197485;218,2205424;211,867885;108,3024468;18,31161797;19,43734015;18.40;2;187,408518;1.80354098360655737704;1100.16;1200000
1;0,976666667;187,490969;5,333590227;229,5197485;218,2205424;211,867885;108,3024468;18,31161797;19,43734015;18.40;2;187,408518;1.80354098360655737704;1100.16;1200000
1;1,008333333;192,688106;5,189733922;239,1543166;226,027257;217,128303;108,4252893;19,42938402;19,81833196;19.53;4;192,598677;1.84619672131147540983;1126.18;1200000
1;1,008333333;192,688106;5,189733922;239,1543166;226,027257;217,128303;108,4252893;19,42938402;19,81833196;19.53;4;192,598677;1.84619672131147540983;1126.18;1200000
1;1,038333333;200,984535;4,975507195;253,9892916;226,2894832;226,108724;108,5834915;20,86889422;21,09061748;20.95;2;200,88875;2.72183606557377049180;1660.32;1200000
1;1,038333333;200,984535;4,975507195;253,9892916;226,2894832;226,108724;108,5834915;20,86889422;21,09061748;20.95;2;200,88875;2.72183606557377049180;1660.32;1200000
1;1,085;190,745519;5,242587114;240,5241243;228,4695722;217,382165;108,5644782;20,69588881;22,02609363;20.77;3;190,655288;1.80419672131147540983;1100.56;1200000
1;1,085;190,745519;5,242587114;240,5241243;228,4695722;217,382165;108,5644782;20,69588881;22,02609363;20.77;3;190,655288;1.80419672131147540983;1100.56;1200000
1;0,965;176,977829;5,650425286;213,4277977;148,4216785;189,962051;108,1669118;17,0783605;13,80500431;17.16;2;176,920727;1.02424590163934426229;624.79;1300000
1;0,965;176,977829;5,650425286;213,4277977;148,4216785;189,962051;108,1669118;17,0783605;13,80500431;17.16;2;176,920727;1.02424590163934426229;624.79;1300000
1;0,983333333;177,14147;5,645205496;214,5060965;172,2183154;194,346454;108,2043383;17,41891122;15,24132091;17.50;3;177,084326;1.03037704918032786885;628.53;1300000
1;0,983333333;176,886039;5,653357414;214,1316582;173,079407;195,462998;108,2015779;17,39379384;15,49534293;17.48;3;176,822316;1.03257377049180327868;629.87;1300000
1;0,983333333;177,14147;5,645205496;214,5060965;172,2183154;194,346454;108,2043383;17,41891122;15,24132091;17.50;3;177,084326;1.03037704918032786885;628.53;1300000
1;0,983333333;176,886039;5,653357414;214,1316582;173,079407;195,462998;108,2015779;17,39379384;15,49534293;17.48;3;176,822316;1.03257377049180327868;629.87;1300000
1;1,018333333;177,922474;5,620425444;217,2924783;162,1940628;195,865495;108,2812164;18,1184386;15,20850368;18.19;2;177,871141;1.03875409836065573770;633.64;1300000
1;1,018333333;177,922474;5,620425444;217,2924783;162,1940628;195,865495;108,2812164;18,1184386;15,20850368;18.19;2;177,871141;1.03875409836065573770;633.64;1300000
1;1,056666667;175,853212;5,686560903;215,9876552;170,033783;194,211325;108,3321423;18,58182273;16,23325453;18.66;3;175,791701;1.04885245901639344262;639.80;1300000
1;1,056666667;175,853212;5,686560903;215,9876552;170,033783;194,211325;108,3321423;18,58182273;16,23325453;18.66;3;175,791701;1.04885245901639344262;639.80;1300000
1;0,955;170,569756;5,862704054;203,7612678;200,8426261;189,062933;108,0802063;16,2894117;17,43679163;16.37;2;170,516191;1.02373770491803278688;624.48;1400000
1;0,955;170,569756;5,862704054;203,7612678;200,8426261;189,062933;108,0802063;16,2894117;17,43679163;16.37;2;170,516191;1.02373770491803278688;624.48;1400000
1;0,978333333;170,016507;5,88178182;203,9381066;198,3399181;189,290659;108,1179976;16,6332816;17,53191489;16.71;3;169,967643;1.02744262295081967213;626.74;1400000
1;0,978333333;170,016507;5,88178182;203,9381066;198,3399181;189,290659;108,1179976;16,6332816;17,53191489;16.71;3;169,967643;1.02744262295081967213;626.74;1400000
1;0,98;170,124717;5,878040638;204,1632714;188,9965842;185,521856;108,1222772;16,67222227;17,33220051;16.75;2;170,070057;1.02667213114754098360;626.27;1400000
1;0,98;170,124717;5,878040638;204,1632714;188,9965842;185,521856;108,1222772;16,67222227;17,33220051;16.75;2;170,070057;1.02667213114754098360;626.27;1400000
1;1,04;171,798116;5,820785602;209,1706433;204,779208;191,389849;108,2535837;17,86700406;19,2153723;17.93;3;171,752249;1.04209836065573770491;635.68;1400000
1;1,04;171,798116;5,820785602;209,1706433;204,779208;191,389849;108,2535837;17,86700406;19,2153723;17.93;3;171,752249;1.04209836065573770491;635.68;1400000
1;0,943333333;166,740885;5,997329329;197,8632355;196,4826487;183,657987;108,0186417;15,72922349;17,12268314;15.80;3;166,688929;1.00932786885245901639;615.69;1500000
1;0,943333333;166,740885;5,997329329;197,8632355;196,4826487;183,657987;108,0186417;15,72922349;17,12268314;15.80;3;166,688929;1.00932786885245901639;615.69;1500000
1;0,975;167,937328;5,954602303;200,8192501;161,1596488;182,729012;108,0894905;16,37388948;14,6883006;16.44;2;167,887124;1.02568852459016393442;625.67;1500000
1;0,975;167,937328;5,954602303;200,8192501;161,1596488;182,729012;108,0894905;16,37388948;14,6883006;16.44;2;167,887124;1.02568852459016393442;625.67;1500000
1;0,998333333;166,973165;5,988986314;200,374581;157,0590963;181,225392;108,1219767;16,66948764;14,84570475;0.11;2;166,925403;.82814754098360655737;505.17;1500000
1;0,998333333;166,973165;5,988986314;200,374581;157,0590963;181,225392;108,1219767;16,66948764;14,84570475;0.11;2;166,925403;.82814754098360655737;505.17;1500000
1;1,005;167,659256;5,964478335;201,63411;199,4996022;187,62816;108,1417881;16,84975523;17,72990886;16.91;3;167,607628;1.02680327868852459016;626.35;1500000
1;1,005;167,659256;5,964478335;201,63411;199,4996022;187,62816;108,1417881;16,84975523;17,72990886;16.91;3;167,607628;1.02680327868852459016;626.35;1500000
1;1,01;166,887888;5,992046589;200,7207243;172,2266208;181,995782;108,1424389;16,85567669;17,06512778;16.92;2;166,83988;1.02267213114754098360;623.83;1500000
1;1,01;166,887888;5,992046589;200,7207243;172,2266208;181,995782;108,1424389;16,85567669;17,06512778;16.92;2;166,83988;1.02267213114754098360;623.83;1500000
1;0,94;156,468679;6,391055426;183,4507122;192,2243371;172,301743;107,9064153;14,70805583;16,47475642;14.78;3;156,420448;1.16727868852459016393;712.04;1600000
1;0,94;156,468679;6,391055426;183,4507122;192,2243371;172,301743;107,9064153;14,70805583;16,47475642;14.78;3;156,420448;1.16727868852459016393;712.04;1600000
1;0,97;156,793165;6,377829034;184,9170885;196,4514844;174,778487;107,9614622;15,20893701;17,33905579;15.29;2;156,784185;null;null;1600000
1;0,97;156,254775;6,399804422;184,168696;189,3721517;173,150479;107,9557228;15,15671318;15,96566524;15.24;3;156,24659;null;null;1600000
1;0,983333333;157,035072;6,368004212;185,7123717;149,8299344;170,323626;107,9870519;15,44178208;13,63251482;0.11;2;156,968899;2.35927868852459016393;1439.16;1600000
1;0,983333333;157,035072;6,368004212;185,7123717;149,8299344;170,323626;107,9870519;15,44178208;13,63251482;0.11;2;156,968899;2.35927868852459016393;1439.16;1600000
1;1,005;157,197385;6,361428977;186,6915447;148,3881339;171,758178;108,0262373;15,79833719;13,58740679;15.86;2;157,141096;1.17955737704918032786;719.53;1600000
1;1,005;157,197385;6,361428977;186,6915447;148,3881339;171,758178;108,0262373;15,79833719;13,58740679;15.86;2;157,141096;1.17955737704918032786;719.53;1600000
1;1,01;157,894213;6,333354345;187,8514814;187,7351791;175,272753;108,04261;15,94731551;17,47732894;16.01;2;157,842503;1.20970491803278688524;737.92;1600000
1;1,01;157,894213;6,333354345;187,8514814;187,7351791;175,272753;108,04261;15,94731551;17,47732894;16.01;2;157,842503;1.20970491803278688524;737.92;1600000
1;1,03;156,992919;6,369714038;187,2759464;147,5539789;169,195006;108,0671127;16,17027066;14,2279709;16.23;2;156,942276;1.20042622950819672131;732.26;1600000
1;1,03;156,992919;6,369714038;187,2759464;147,5539789;169,195006;108,0671127;16,17027066;14,2279709;16.23;2;156,942276;1.20042622950819672131;732.26;1600000
1;1,04;156,32465;6,396943796;186,6736031;140,1120897;167,673706;108,0767282;16,2577636;14,09127302;16.32;2;156,315763;null;null;1600000
1;1,048333333;155,980537;6,411056272;186,4724342;175,7773285;172,600992;108,0870804;16,35195963;16,52104845;16.43;2;155,972376;null;null;1600000
1;0,915;147,869072;6,762739405;171,0062523;165,0780392;161,303841;107,7769492;13,53002009;13,10282075;13.61;3;147,854008;null;null;1700000
1;0,916666667;146,957593;6,804684124;169,836453;126,8268516;157,435898;107,7704753;13,47111269;11,44414169;13.55;2;146,948251;null;null;1700000
1;0,956666667;146,44602;6,828454607;170,3058779;145,5590833;156,432426;107,8296993;14,01000258;13,05483029;14.09;2;146,392383;2.69154098360655737704;1641.84;1700000
1;0,956666667;146,44602;6,828454607;170,3058779;145,5590833;156,432426;107,8296993;14,01000258;13,05483029;14.09;2;146,392383;2.69154098360655737704;1641.84;1700000
1;0,958333333;148,463852;6,735646331;173,090847;130,5481056;158,011558;107,8536337;14,22778582;12,16333623;14.29;2;148,416168;1.20791803278688524590;736.83;1700000
1;0,958333333;148,463852;6,735646331;173,090847;130,5481056;158,011558;107,8536337;14,22778582;12,16333623;14.29;2;148,416168;1.20791803278688524590;736.83;1700000
1;0,988333333;147,335567;6,787227418;172,4466744;158,5472751;160,252261;107,890327;14,56166521;14,9957877;14.63;2;147,284595;2.55518032786885245901;1558.66;1700000
1;0,988333333;147,335567;6,787227418;172,4466744;158,5472751;160,252261;107,890327;14,56166521;14,9957877;14.63;2;147,284595;2.55518032786885245901;1558.66;1700000
1;0,991666667;148,402437;6,738433817;174,0108784;145,6300404;160,300072;107,9073516;14,716575;13,26616289;14.80;3;148,394031;null;null;1700000
1;1,003333333;147,313333;6,788251814;172,8632829;131,5118347;158,321931;107,9143701;14,78043774;12,36514523;14.85;2;147,260122;2.37567213114754098360;1449.16;1700000
1;1,003333333;147,313333;6,788251814;172,8632829;131,5118347;158,321931;107,9143701;14,78043774;12,36514523;14.85;2;147,260122;2.37567213114754098360;1449.16;1700000
1;1,011666667;147,956389;6,75874835;174,001355;170,0327455;162,095005;107,9350112;14,96825469;16,21399177;15.03;2;147,934991;null;null;1700000
1;1,05;148,032422;6,755276895;175,2763307;176,730486;163,14749;107,9982201;15,54340431;16,49484536;15.60;3;148,025258;null;null;1700000
1;1,085;147,078188;6,799104705;175,0055436;167,6386644;160,948925;108,0437824;15,9579834;17,26784344;16.02;2;147,020852;2.74285245901639344262;1673.14;1700000
1;1,085;147,078188;6,799104705;175,0055436;167,6386644;160,948925;108,0437824;15,9579834;17,26784344;16.02;2;147,020852;2.74285245901639344262;1673.14;1700000
1;0,923333333;138,654986;7,212145981;159,0125284;134,7686959;148,531034;107,6969922;12,80247704;11,72227232;12.88;2;138,646612;null;null;1800000
1;0,93;138,489215;7,220778889;158,9628276;161,7235106;150,287;107,7054567;12,879497;13,24977619;12.95;3;138,481612;null;null;1800000
1;0,953333333;137,966445;7,248139212;158,861134;138,3332824;148,181937;107,7354928;13,15280109;12,13973799;13.23;2;137,958993;null;null;1800000
1;0,963333333;139,738209;7,156238849;161,4750939;130,9914377;149,66398;107,7694131;13,46144747;12,10025929;13.51;2;139,6998;1.04039344262295081967;634.64;1800000
1;0,963333333;139,738209;7,156238849;161,4750939;130,9914377;149,66398;107,7694131;13,46144747;12,10025929;13.51;2;139,6998;1.04039344262295081967;634.64;1800000
1;0,991666667;140,494392;7,117721823;163,2371852;164,2571386;153,514677;107,8211664;13,93236054;15,28127624;13.98;2;140,46054;1.04714754098360655737;638.76;1800000
1;0,991666667;140,494392;7,117721823;163,2371852;164,2571386;153,514677;107,8211664;13,93236054;15,28127624;13.98;2;140,46054;1.04714754098360655737;638.76;1800000
1;0,993333333;139,470476;7,169976246;161,9002449;141,766569;150,033772;107,812562;13,85406728;13,24392288;13.90;2;139,437027;1.05009836065573770491;640.56;1800000
1;0,993333333;139,470476;7,169976246;161,9002449;141,766569;150,033772;107,812562;13,85406728;13,24392288;13.90;2;139,437027;1.05009836065573770491;640.56;1800000
1;0,996666667;138,491454;7,22066215;160,6684971;147,5260056;149,489962;107,8069477;13,80298158;13,19966583;13.86;2;138,455961;1.04286885245901639344;636.15;1800000
1;0,996666667;138,491454;7,22066215;160,6684971;147,5260056;149,489962;107,8069477;13,80298158;13,19966583;13.86;2;138,455961;1.04286885245901639344;636.15;1800000
1;0,998333333;138,693008;7,210168807;160,9830145;126,9839502;147,868884;107,8116958;13,8461853;12,01000834;13.92;2;138,68817;null;null;1800000
1;1,023333333;138,970161;7,195789318;162,0100658;174,9257228;153,033481;107,8529187;14,22127981;15,62245728;14.29;3;138,963937;null;null;1800000
1;1,066666667;139,917774;7,147054812;164,4631849;137,587822;151,084831;107,9302094;14,92456256;13,42701015;14.97;2;139,878617;1.07093442622950819672;653.27;1800000
1;1,066666667;139,917774;7,147054812;164,4631849;137,587822;151,084831;107,9302094;14,92456256;13,42701015;14.97;2;139,878617;1.07093442622950819672;653.27;1800000
1;0,963333333;132,055794;7,572556794;151,3037055;165,0850996;143,756244;107,6880791;12,72137482;14,693172;12.77;3;132,023641;1.07234426229508196721;654.13;1900000
1;0,963333333;132,055794;7,572556794;151,3037055;165,0850996;143,756244;107,6880791;12,72137482;14,693172;12.77;3;132,023641;1.07234426229508196721;654.13;1900000
1;0,965;130,846261;7,642556939;149,7553685;157,3627435;142,00974;107,6776704;12,62666419;13,97756687;12.70;2;130,841129;null;null;1900000
1;0,98;131,837743;7,585081307;151,3985905;135,2452621;141,910783;107,7099189;12,92009881;12,23449448;12.99;2;131,831962;null;null;1900000
1;1;131,651445;7,595814843;151,6112905;128,2264779;140,23919;107,7368494;13,1651445;12,15653622;13.21;2;131,615502;1.08811165845648604269;662.66;1900000
1;1;131,651445;7,595814843;151,6112905;128,2264779;140,23919;107,7368494;13,1651445;12,15653622;13.21;2;131,615502;1.08811165845648604269;662.66;1900000
1;1,003333333;132,971889;7,520386508;153,4435846;143,9186115;144,529423;107,7562323;13,34151286;13,1120332;13.39;2;132,938252;1.08519672131147540983;661.97;1900000
1;1,003333333;132,971889;7,520386508;153,4435846;143,9186115;144,529423;107,7562323;13,34151286;13,1120332;13.39;2;132,938252;1.08519672131147540983;661.97;1900000
1;1,016666667;132,499154;7,547218;153,1264282;127,280783;142,076862;107,7704351;13,47074732;12,44881245;13.54;2;132,492227;null;null;1900000
1;1,018333333;132,192406;7,564731063;152,755766;99,56467221;139,488138;107,7694291;13,46159334;9,484873262;13.50;2;132,156437;1.09180623973727422003;664.91;1900000
1;1,018333333;132,192406;7,564731063;152,755766;99,56467221;139,488138;107,7694291;13,46159334;9,484873262;13.50;2;132,156437;1.09180623973727422003;664.91;1900000
1;1,023333333;131,86891;7,583288586;152,4400642;140,7356952;142,260536;107,7730549;13,49458512;13,58828316;13.56;2;131,861682;null;null;1900000
1;1,08;131,911655;7,580831277;153,8264812;131,3572632;142,089302;107,8556858;14,24645874;14,03238242;14.31;2;131,905506;null;null;1900000
1;0,941666667;125,873436;7,944487986;142,7995881;144,5975447;136,631595;107,5926537;11,85308189;13,08576481;11.92;2;125,866767;null;null;2000000
1;0,963333333;124,971597;8,001818205;142,0760317;115,73901;132,643288;107,6130785;12,03893051;10,97666379;12.11;2;124,964474;null;null;2000000
1;0,971666667;125,402092;7,974348626;142,80243;128,7551756;134,081731;107,6291209;12,18490327;11,8251928;12.22;2;125,380976;2.33832786885245901639;1426.38;2000000
1;0,971666667;125,402092;7,974348626;142,80243;128,7551756;134,081731;107,6291209;12,18490327;11,8251928;12.22;2;125,380976;2.33832786885245901639;1426.38;2000000
1;0,978333333;125,321974;7,979446605;142,8344266;144,405379;135,210922;107,6374472;12,26066646;12,76595745;12.33;2;125,315675;null;null;2000000
1;0,993333333;126,309354;7,917070022;144,4306803;97,88644048;133,076677;107,6688855;12,54672916;9,388097234;12.58;2;126,294774;1.09093596059113300492;664.38;2000000
1;0,993333333;126,309354;7,917070022;144,4306803;97,88644048;133,076677;107,6688855;12,54672916;9,388097234;12.58;2;126,294774;1.09093596059113300492;664.38;2000000
1;0,995;125,58942;7,962454162;143,5244462;127,8358319;134,503377;107,6633266;12,49614729;12,05020921;12.53;2;125,574505;1.09085385878489326765;664.33;2000000
1;0,995;125,58942;7,962454162;143,5244462;127,8358319;134,503377;107,6633266;12,49614729;12,05020921;12.53;2;125,574505;1.09085385878489326765;664.33;2000000
1;1,006666667;124,737491;8,016835933;142,6499079;115,8529571;132,578933;107,6700041;12,55690743;11,1662531;12.59;2;124,72268;1.08829508196721311475;663.86;2000000
1;1,006666667;124,737491;8,016835933;142,6499079;115,8529571;132,578933;107,6700041;12,55690743;11,1662531;12.59;2;124,72268;1.08829508196721311475;663.86;2000000
1;1,025;126,144822;7,927396338;144,877221;126,0129579;135,754388;107,7109899;12,92984426;12,1039805;12.96;2;126,127556;1.33983579638752052545;815.96;2000000
1;1,025;126,144822;7,927396338;144,877221;126,0129579;135,754388;107,7109899;12,92984426;12,1039805;12.96;2;126,127556;1.33983579638752052545;815.96;2000000
1;1,033333333;124,263082;8,047442442;142,5697811;127,8885394;133,778037;107,701173;12,84051847;12,4093473;12.90;2;124,256415;null;null;2000000
1;1,041666667;124,815555;8,011821924;143,4688272;138,1294964;134,119313;107,7188781;13,00162031;13,42925659;13.07;2;124,809005;null;null;2000000
1;0,92;119,281917;8,383500409;133,9853882;98,36710604;125,880641;107,4960356;10,97393636;8,50678733;11.04;2;119,276274;null;null;2100000
1;0,933333333;119,896061;8,340557577;135,0033382;122,3397477;127,524538;107,5198139;11,19029903;10,16949153;11.24;3;119,889658;null;null;2100000
1;0,943333333;118,880212;8,411828875;133,8957752;127,2459058;125,957821;107,5224589;11,21436667;11,65048544;11.28;2;118,873205;null;null;2100000
