Running for 480.0 seconds (480 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   CPU Freq  Freq Min  Freq Max
00:44:01  15.1   0.0   1.3  83.6   0.0    1   3592   3455   31    5    3   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
00:44:02   0.3   0.0   0.3  99.4   0.0    1   1295    629    8    4    8   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
00:44:03   0.3   0.0   0.3  99.2   0.1    1   1252    549    2    2    2   0.00E  0.83 GHz  0.80 GHz  0.87 GHz
00:44:04   0.2   0.0   0.2  99.7   0.0    1   1193    550    2    2    2   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
00:44:05   0.3   0.0   0.3  99.4   0.1    2   1255    556    1    0    1   0.00E  0.84 GHz  0.80 GHz  0.87 GHz
00:44:06   0.3   0.0   0.2  99.3   0.2    1   1308    648    1    2    1   0.00E  0.83 GHz  0.80 GHz  0.87 GHz
00:44:07   0.3   0.0   0.3  99.4   0.0    1   1254    657    3    3    3   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
00:44:08   3.3   0.0   0.3  96.2   0.2    1   1655   1104    3    2    2   0.00E  0.90 GHz  0.80 GHz  2.13 GHz
00:44:09   6.9   0.0   0.2  92.9   0.1    2   1595   1559    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:10   8.5   0.0   0.3  91.1   0.1    3   1716   1777    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:11   9.0   0.0   0.2  90.8   0.0    2   1793   1842    2    2    4   0.00E  0.91 GHz  0.80 GHz  2.10 GHz
00:44:12   8.6   0.0   0.3  91.2   0.0    2   1623   1711    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:13   8.7   0.0   0.2  91.1   0.1    2   1718   1770    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:14   8.6   0.0   0.3  91.2   0.0    2   1675   1796    2    2    3   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:44:15   7.3   0.0   0.3  92.4   0.1    2   1614   1491    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:16   5.8   0.0   0.3  93.8   0.1    2   1578   1326    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:44:17   7.0   0.0   0.3  92.7   0.1    2   1559   1531    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:18   8.8   0.0   0.5  90.6   0.1    2   1716   1985    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:19   8.8   0.0   0.3  91.0   0.0    3   1717   1783    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:44:20   8.7   0.0   0.3  90.9   0.1    2   1726   1787    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:21   7.9   0.0   0.3  91.8   0.0    1   1612   1575    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.13 GHz
00:44:22   4.0   0.0   0.2  95.7   0.1    2   1420   1088    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:23   7.9   0.0   0.2  91.8   0.1    2   1699   1633    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   CPU Freq  Freq Min  Freq Max
00:44:24   7.1   0.0   0.2  92.7   0.0    2   1563   1468    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.13 GHz
00:44:25   7.8   0.0   0.3  91.7   0.1    2   1878   1713    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:26   8.6   0.0   0.3  91.2   0.0    2   1715   1800    2    2    3   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:27   8.6   0.0   0.2  91.2   0.1    2   1658   1791    2    2    2   0.00E  0.91 GHz  0.80 GHz  2.10 GHz
00:44:28   8.7   0.0   0.3  90.9   0.2    2   1659   1716    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:29   7.3   0.0   0.3  92.5   0.0    1   1514   1510    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
00:44:30   6.3   0.0   0.3  93.2   0.2    1   1670   1506    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
00:44:31   3.9   0.0   0.2  95.9   0.0    2   1422   1086    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:44:32   3.6   0.0   0.3  96.2   0.0    2   1408   1014    2    2    2   0.00E  0.87 GHz  0.80 GHz  1.84 GHz
00:44:33   7.4   0.0   0.3  92.2   0.2    2   1630   1604    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:34   7.8   0.0   0.2  92.1   0.0    1   1562   1581    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
00:44:35   8.0   0.0   0.3  91.7   0.0    2   1744   1703    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:36   8.6   0.0   0.2  91.2   0.0    2   1613   1727    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:37  13.3   0.0   0.8  85.8   0.1    2   3971   3351   24    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:38   9.8   0.0   1.1  89.0   0.2    3   2238   2734   19    3    3   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:39  10.0   0.0   0.4  89.5   0.0    2   1841   2145    7    2    3   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:40   8.6   0.0   0.3  91.1   0.1    2   1731   1823    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:41  11.0   0.0   1.3  87.5   0.2    2   1961   2439    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:44:42   9.7   0.0   0.3  89.9   0.1    4   2399   2097    2    2    2   0.00E  0.87 GHz  0.79 GHz  2.10 GHz
00:44:43  16.4   0.0   1.1  82.4   0.1    3   3079   3378    3    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:44  25.5   0.0   1.7  72.7   0.1    4   3283   4560    2    2    2   0.00E  0.88 GHz  0.71 GHz  2.10 GHz
00:44:45  17.3   0.0   1.1  81.6   0.1    3   3123   3459    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:46  16.0   0.0   1.1  82.8   0.1    3   2840   3176    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   CPU Freq  Freq Min  Freq Max
00:44:47  16.2   0.0   1.1  82.7   0.0    3   4671   3360    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:48  16.1   0.0   1.0  82.8   0.1    3   2890   3071    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:49  25.5   0.0   1.5  72.9   0.0    3   3247   4459    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:50  14.1   0.0   1.2  84.6   0.2    2   2783   2886    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:44:51  12.7   0.0   1.3  86.0   0.0    3   2691   2698    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:44:52  16.3   0.0   1.2  82.5   0.0    3   4502   3381    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:53  15.1   0.0   1.2  83.6   0.1    2   2802   3042    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
00:44:54  11.5   0.0   1.0  87.5   0.0    2   2673   2605    2    2    2   0.00E  0.87 GHz  0.80 GHz  2.13 GHz
00:44:55  11.9   0.0   1.2  86.8   0.2    3   2726   2541    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:56  11.8   0.0   0.8  87.4   0.1    2   2132   2412    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:44:57   6.8   0.0   0.3  92.9   0.0    3   2825   1639    2    2    2   0.00E  0.87 GHz  0.80 GHz  2.10 GHz
00:44:58   8.7   0.0   0.3  91.0   0.1    2   1739   1822    2    2    2   0.00E  0.88 GHz  0.80 GHz  2.10 GHz
00:44:59   8.5   0.0   0.3  91.2   0.0    2   1591   1687    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:45:00   6.9   0.0   0.3  92.7   0.2    2   1653   1593    2    2    2   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:45:01   9.0   0.0   0.3  90.7   0.0    2   1767   1770    2    2    2   0.00E  0.91 GHz  0.80 GHz  2.10 GHz
00:45:02   8.1   0.0   0.3  91.6   0.0    2   1792   1907    5    4    6   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
00:45:03   7.1   0.0   0.3  92.6   0.1    2   1592   1557    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:45:04   8.6   0.0   0.3  91.1   0.0    2   1646   1800    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
00:45:05   8.3   0.0   0.3  91.4   0.1    1   1608   1634    2    2    2   0.00E  0.90 GHz  0.80 GHz  2.13 GHz
00:45:06   5.3   0.0   0.3  94.3   0.2    1   1598   1349    2    2    2   0.00E  0.91 GHz  0.80 GHz  2.13 GHz
