Running for 480.0 seconds (480 samples at 1.0 second intervals).
Power measurements will start in 0 seconds time.

  Time    User  Nice   Sys  Idle    IO  Run Ctxt/s  IRQ/s Fork Exec Exit  Watts   CPU Freq  Freq Min  Freq Max
10:03:17  18.2   0.0   1.8  80.1   0.0    1   4314   4313   46   17   17   0.00E  0.89 GHz  0.80 GHz  2.13 GHz
10:03:18   0.8   0.0   0.6  98.7   0.0    1   1029   1309   20   16   22   0.00E  0.90 GHz  0.80 GHz  2.13 GHz
10:03:19   0.7   0.0   0.5  98.6   0.3    1    972   1190   14   14   14   0.00E  0.81 GHz  0.76 GHz  0.87 GHz
10:03:20   0.7   0.0   0.6  98.7   0.0    1    973   1058   15   14   14   0.00E  0.82 GHz  0.80 GHz  0.87 GHz
10:03:21   0.8   0.0   0.5  98.7   0.0    1   1062   1199   14   14   14   0.00E  0.83 GHz  0.80 GHz  0.87 GHz
10:03:22   0.7   0.0   0.4  98.9   0.0    1    946   1241   14   14   14   0.00E  0.83 GHz  0.80 GHz  0.87 GHz
10:03:23   0.6   0.0   0.6  98.7   0.1    1    939   1170   15   15   15   0.00E  0.83 GHz  0.80 GHz  0.87 GHz
10:03:24   3.4   0.0   0.7  95.9   0.0    2   1399   1538   15   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
10:03:25   8.9   0.0   0.4  90.5   0.2    2   1507   2418   14   14   14   0.00E  0.88 GHz  0.77 GHz  2.10 GHz
10:03:26   7.6   0.0   0.5  91.9   0.0    2   1362   2114   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
10:03:27   9.1   0.0   0.5  90.3   0.1    2   1542   2388   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
10:03:28   8.3   0.0   0.5  91.2   0.0    2   1399   2005   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
10:03:29   9.1   0.0   0.5  90.4   0.0    2   1446   2274   14   14   14   0.00E  0.89 GHz  0.80 GHz  2.10 GHz
10:03:30   9.1   0.0   0.4  90.4   0.1    2   1464   2296   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
10:03:31   6.5   0.0   0.6  92.9   0.0    2   1324   2016   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
10:03:32   5.4   0.0   0.5  94.1   0.0    2   1295   1785   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.03 GHz
10:03:33   9.1   0.0   0.5  90.4   0.0    3   1519   2320   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
10:03:34   9.3   0.0   0.5  90.1   0.1    2   1508   2341   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
10:03:35   9.1   0.0   0.4  90.5   0.0    2   1550   2283   14   14   14   0.00E  0.90 GHz  0.80 GHz  2.10 GHz
